id,Source,Destination,Route,Distance_in_km
1,Banglore,New Delhi,BLR;DEL,"1,710.05"
2,Kolkata,Banglore,CCU;IXR;BBI;BLR,"1,839.05"
3,Delhi,Cochin,DEL;LKO;BOM;COK,"2,670.87"
4,Kolkata,Banglore,CCU;NAG;BLR,"1,874.45"
5,Banglore,New Delhi,BLR;NAG;DEL,"1,743.17"
6,Kolkata,Banglore,CCU;BLR,"1,546.84"
7,Banglore,New Delhi,BLR;BOM;DEL,"1,972.40"
8,Banglore,New Delhi,BLR;BOM;DEL,"1,972.40"
9,Banglore,New Delhi,BLR;BOM;DEL,"1,972.40"
10,Delhi,Cochin,DEL;BOM;COK,"2,202.04"
11,Delhi,Cochin,DEL;BLR;COK,"2,077.31"
12,Kolkata,Banglore,CCU;BLR,"1,546.84"
13,Chennai,Kolkata,MAA;CCU,"1,385.71"
14,Kolkata,Banglore,CCU;BOM;BLR,"2,499.66"
15,Kolkata,Banglore,CCU;BLR,"1,546.84"
16,Delhi,Cochin,DEL;AMD;BOM;COK,"2,264.49"
17,Delhi,Cochin,DEL;PNQ;COK,"2,131.16"
18,Delhi,Cochin,DEL;BOM;COK,"2,202.04"
19,Delhi,Cochin,DEL;CCU;BOM;COK,"4,041.99"
20,Delhi,Cochin,DEL;BOM;COK,"2,202.04"
21,Delhi,Cochin,DEL;BOM;COK,"2,202.04"
22,Banglore,New Delhi,BLR;COK;DEL,"2,416.17"
23,Banglore,Delhi,BLR;DEL,"1,710.05"
24,Banglore,Delhi,BLR;DEL,"1,710.05"
25,Kolkata,Banglore,CCU;BOM;BLR,"2,499.66"
26,Delhi,Cochin,DEL;IDR;BOM;COK,"2,232.63"
27,Delhi,Cochin,DEL;LKO;COK,"2,329.40"
28,Delhi,Cochin,DEL;BOM;COK,"2,202.04"
29,Banglore,Delhi,BLR;DEL,"1,710.05"
30,Chennai,Kolkata,MAA;CCU,"1,385.71"
31,Chennai,Kolkata,MAA;CCU,"1,385.71"
32,Kolkata,Banglore,CCU;GAU;DEL;BLR,"3,663.88"
33,Banglore,Delhi,BLR;DEL,"1,710.05"
34,Delhi,Cochin,DEL;NAG;BOM;COK,"2,600.30"
35,Delhi,Cochin,DEL;BOM;COK,"2,202.04"
36,Delhi,Cochin,DEL;BOM;COK,"2,202.04"
