Airline,Source,Destination,Date_of_Journey,Dep_Time,Duration,Total_Stops,Additional_Info,Price_in_Euro
IndiGo,Banglore,New Delhi,24/03/2019,22:20,2h 50m,non-stop,No info,42.867
Air India,Kolkata,Banglore,1/05/2019,05:50,7h 25m,2 stops,No info,84.282
Jet Airways,Delhi,Cochin,9/06/2019,09:25,19h,2 stops,No info,152.702
IndiGo,Kolkata,Banglore,12/05/2019,18:05,5h 25m,1 stop,No info,68.398
IndiGo,Banglore,New Delhi,01/03/2019,16:50,4h 45m,1 stop,No info,146.322
SpiceJet,Kolkata,Banglore,24/06/2019,09:00,2h 25m,non-stop,No info,42.603
Jet Airways,Banglore,New Delhi,12/03/2019,18:55,15h 30m,1 stop,In-flight meal not included,121.957
Jet Airways,Banglore,New Delhi,01/03/2019,08:00,21h 5m,1 stop,No info,244.970
Jet Airways,Banglore,New Delhi,12/03/2019,08:55,25h 30m,1 stop,In-flight meal not included,121.957
Multiple carriers,Delhi,Cochin,27/05/2019,11:25,7h 50m,1 stop,No info,94.875
Air India,Delhi,Cochin,1/06/2019,09:45,13h 15m,1 stop,No info,97.977
IndiGo,Kolkata,Banglore,18/04/2019,20:20,2h 35m,non-stop,No info,45.914
Air India,Chennai,Kolkata,24/06/2019,11:40,2h 15m,non-stop,No info,51.337
Jet Airways,Kolkata,Banglore,9/05/2019,21:10,12h 10m,1 stop,In-flight meal not included,106.293
IndiGo,Kolkata,Banglore,24/04/2019,17:15,2h 35m,non-stop,No info,52.844
Air India,Delhi,Cochin,3/03/2019,16:40,26h 35m,2 stops,No info,154.121
SpiceJet,Delhi,Cochin,15/04/2019,08:45,4h 30m,1 stop,No info,64.130
Jet Airways,Delhi,Cochin,12/06/2019,14:00,22h 35m,1 stop,In-flight meal not included,112.882
Air India,Delhi,Cochin,12/06/2019,20:15,23h,2 stops,No info,147.191
Jet Airways,Delhi,Cochin,27/05/2019,16:00,20h 35m,1 stop,In-flight meal not included,141.878
GoAir,Delhi,Cochin,6/03/2019,14:10,5h 10m,1 stop,No info,214.445
Air India,Banglore,New Delhi,21/03/2019,22:00,15h 20m,1 stop,No info,76.505
IndiGo,Banglore,Delhi,3/04/2019,04:00,2h 50m,non-stop,No info,43.373
IndiGo,Banglore,Delhi,1/05/2019,18:55,2h 55m,non-stop,No info,53.053
Jet Airways,Kolkata,Banglore,6/05/2019,18:55,13h 20m,1 stop,In-flight meal not included,85.327
Jet Airways,Delhi,Cochin,9/06/2019,21:25,15h 10m,2 stops,No info,146.212
IndiGo,Delhi,Cochin,1/06/2019,21:50,5h 45m,1 stop,No info,90.618
GoAir,Delhi,Cochin,15/05/2019,07:00,5h 55m,1 stop,No info,84.502
Vistara,Banglore,Delhi,18/06/2019,09:45,2h 50m,non-stop,No info,51.348
Vistara,Chennai,Kolkata,15/06/2019,07:05,2h 15m,non-stop,No info,40.557
Vistara,Chennai,Kolkata,18/06/2019,07:05,2h 15m,non-stop,No info,40.557
Air India,Kolkata,Banglore,1/05/2019,09:50,13h 25m,2 stops,No info,145.497
IndiGo,Banglore,Delhi,6/04/2019,04:00,2h 50m,non-stop,No info,48.653
Jet Airways,Delhi,Cochin,15/06/2019,14:35,22h,2 stops,In-flight meal not included,120.109
Jet Airways,Delhi,Cochin,18/05/2019,07:05,5h 30m,1 stop,In-flight meal not included,136.103
IndiGo,Delhi,Cochin,27/06/2019,10:35,10h 25m,1 stop,No info,64.834
