id,Airline,Source,Destination,Date_of_Journey,Dep_Time,Duration,Total_Stops,Additional_Info,Price_in_Euro
1,IndiGo,Banglore,New Delhi,24/03/2019,22:20,2h 50m,non-stop,No info,42.867
2,Air India,Kolkata,Banglore,1/05/2019,05:50,7h 25m,2 stops,No info,84.282
3,Jet Airways,Delhi,Cochin,9/06/2019,09:25,19h,2 stops,No info,152.702
4,IndiGo,Kolkata,Banglore,12/05/2019,18:05,5h 25m,1 stop,No info,68.398
5,IndiGo,Banglore,New Delhi,01/03/2019,16:50,4h 45m,1 stop,No info,146.322
6,SpiceJet,Kolkata,Banglore,24/06/2019,09:00,2h 25m,non-stop,No info,42.603
7,Jet Airways,Banglore,New Delhi,12/03/2019,18:55,15h 30m,1 stop,In-flight meal not included,121.957
8,Jet Airways,Banglore,New Delhi,01/03/2019,08:00,21h 5m,1 stop,No info,244.97
9,Jet Airways,Banglore,New Delhi,12/03/2019,08:55,25h 30m,1 stop,In-flight meal not included,121.957
10,Multiple carriers,Delhi,Cochin,27/05/2019,11:25,7h 50m,1 stop,No info,94.875
11,Air India,Delhi,Cochin,1/06/2019,09:45,13h 15m,1 stop,No info,97.977
12,IndiGo,Kolkata,Banglore,18/04/2019,20:20,2h 35m,non-stop,No info,45.914
13,Air India,Chennai,Kolkata,24/06/2019,11:40,2h 15m,non-stop,No info,51.337
14,Jet Airways,Kolkata,Banglore,9/05/2019,21:10,12h 10m,1 stop,In-flight meal not included,106.293
15,IndiGo,Kolkata,Banglore,24/04/2019,17:15,2h 35m,non-stop,No info,52.844
16,Air India,Delhi,Cochin,3/03/2019,16:40,26h 35m,2 stops,No info,154.121
17,SpiceJet,Delhi,Cochin,15/04/2019,08:45,4h 30m,1 stop,No info,64.13
18,Jet Airways,Delhi,Cochin,12/06/2019,14:00,22h 35m,1 stop,In-flight meal not included,112.882
19,Air India,Delhi,Cochin,12/06/2019,20:15,23h,2 stops,No info,147.191
20,Jet Airways,Delhi,Cochin,27/05/2019,16:00,20h 35m,1 stop,In-flight meal not included,141.878
21,GoAir,Delhi,Cochin,6/03/2019,14:10,5h 10m,1 stop,No info,214.445
22,Air India,Banglore,New Delhi,21/03/2019,22:00,15h 20m,1 stop,No info,76.505
23,IndiGo,Banglore,Delhi,3/04/2019,04:00,2h 50m,non-stop,No info,43.373
24,IndiGo,Banglore,Delhi,1/05/2019,18:55,2h 55m,non-stop,No info,53.053
25,Jet Airways,Kolkata,Banglore,6/05/2019,18:55,13h 20m,1 stop,In-flight meal not included,85.327
26,Jet Airways,Delhi,Cochin,9/06/2019,21:25,15h 10m,2 stops,No info,146.212
27,IndiGo,Delhi,Cochin,1/06/2019,21:50,5h 45m,1 stop,No info,90.618
28,GoAir,Delhi,Cochin,15/05/2019,07:00,5h 55m,1 stop,No info,84.502
29,Vistara,Banglore,Delhi,18/06/2019,09:45,2h 50m,non-stop,No info,51.348
30,Vistara,Chennai,Kolkata,15/06/2019,07:05,2h 15m,non-stop,No info,40.557
31,Vistara,Chennai,Kolkata,18/06/2019,07:05,2h 15m,non-stop,No info,40.557
32,Air India,Kolkata,Banglore,1/05/2019,09:50,13h 25m,2 stops,No info,145.497
33,IndiGo,Banglore,Delhi,6/04/2019,04:00,2h 50m,non-stop,No info,48.653
34,Jet Airways,Delhi,Cochin,15/06/2019,14:35,22h,2 stops,In-flight meal not included,120.109
35,Jet Airways,Delhi,Cochin,18/05/2019,07:05,5h 30m,1 stop,In-flight meal not included,136.103
36,IndiGo,Delhi,Cochin,27/06/2019,10:35,10h 25m,1 stop,No info,64.834
37,SpiceJet,Kolkata,Banglore,21/05/2019,15:05,5h 15m,1 stop,No info,51.139
38,Air India,Kolkata,Banglore,18/05/2019,14:15,2h 30m,non-stop,No info,68.695
39,Jet Airways,Banglore,New Delhi,06/03/2019,07:00,6h 15m,1 stop,No info,211.475
40,Jet Airways,Delhi,Cochin,3/06/2019,07:05,11h 55m,1 stop,No info,164.164
41,Multiple carriers,Delhi,Cochin,21/05/2019,07:05,11h 5m,1 stop,No info,106.106
42,Air India,Banglore,New Delhi,15/03/2019,06:45,8h 30m,1 stop,No info,95.854
43,Jet Airways,Delhi,Cochin,18/05/2019,20:55,22h 5m,1 stop,In-flight meal not included,136.103
44,Air Asia,Banglore,Delhi,6/05/2019,11:10,2h 45m,non-stop,No info,37.213
45,Multiple carriers,Delhi,Cochin,21/03/2019,09:00,12h,1 stop,No info,143.682
46,SpiceJet,Banglore,New Delhi,24/03/2019,05:45,2h 50m,non-stop,No check-in baggage included,38.797
47,IndiGo,Banglore,Delhi,27/05/2019,04:00,2h 50m,non-stop,No info,43.373
48,Air India,Chennai,Kolkata,3/05/2019,11:40,2h 15m,non-stop,No info,51.337
49,Air India,Kolkata,Banglore,15/05/2019,19:00,16h 5m,1 stop,No info,67.287
50,Jet Airways,Delhi,Cochin,27/06/2019,23:05,19h 55m,2 stops,In-flight meal not included,122.65
51,Jet Airways,Delhi,Cochin,9/03/2019,11:00,3h 15m,non-stop,In-flight meal not included,79.222
52,Jet Airways,Kolkata,Banglore,1/05/2019,09:35,25h 20m,1 stop,No info,133.331
53,IndiGo,Banglore,New Delhi,24/03/2019,22:20,2h 50m,non-stop,No info,48.147
54,IndiGo,Banglore,Delhi,18/06/2019,21:15,3h,non-stop,No info,43.373
55,Air Asia,Banglore,Delhi,3/04/2019,23:55,2h 50m,non-stop,No info,49.313
56,Jet Airways,Kolkata,Banglore,24/03/2019,19:45,16h 15m,1 stop,No info,156.541
57,Air India,Banglore,New Delhi,01/03/2019,08:50,15h 5m,2 stops,No info,190.795
58,Vistara,Chennai,Kolkata,6/03/2019,07:05,2h 15m,non-stop,No info,81.554
59,Multiple carriers,Delhi,Cochin,6/05/2019,19:00,6h 30m,1 stop,No info,88.803
60,Vistara,Mumbai,Hyderabad,6/03/2019,15:40,25h 5m,1 stop,No info,136.345
61,Air India,Kolkata,Banglore,6/06/2019,09:25,12h 25m,1 stop,No info,92.026
62,Air India,Delhi,Cochin,3/04/2019,06:05,27h 20m,1 stop,No info,56.287
63,Multiple carriers,Delhi,Cochin,3/06/2019,08:45,10h 15m,1 stop,No info,137.764
64,IndiGo,Delhi,Cochin,15/05/2019,15:00,10h 30m,1 stop,No info,79.101
65,Vistara,Chennai,Kolkata,24/05/2019,07:05,2h 15m,non-stop,No info,40.557
66,IndiGo,Delhi,Cochin,24/06/2019,10:35,10h 25m,1 stop,No info,64.834
67,Vistara,Banglore,Delhi,24/04/2019,09:45,2h 50m,non-stop,No info,59.433
68,Air India,Mumbai,Hyderabad,6/05/2019,13:55,1h 30m,non-stop,No info,39.875
69,Air India,Delhi,Cochin,21/05/2019,05:55,13h 20m,2 stops,No info,119.471
70,IndiGo,Chennai,Kolkata,12/03/2019,13:20,2h 15m,non-stop,No info,69.267
71,Jet Airways,Mumbai,Hyderabad,1/06/2019,07:05,1h 25m,non-stop,No info,62.458
72,Jet Airways,Banglore,New Delhi,09/03/2019,05:45,26h 30m,1 stop,In-flight meal not included,100.474
73,Multiple carriers,Delhi,Cochin,24/06/2019,11:40,7h 20m,1 stop,In-flight meal not included,118.701
74,Jet Airways,Delhi,Cochin,24/06/2019,23:05,13h 30m,2 stops,No info,141.009
75,IndiGo,Delhi,Cochin,21/03/2019,05:05,5h,1 stop,No info,75.823
76,Vistara,Banglore,New Delhi,09/03/2019,09:50,2h 45m,non-stop,No info,79.64
77,GoAir,Banglore,Delhi,3/04/2019,11:40,2h 50m,non-stop,No info,42.878
78,IndiGo,Mumbai,Hyderabad,3/04/2019,06:25,1h 30m,non-stop,No info,44.539
79,Jet Airways,Delhi,Cochin,15/06/2019,17:30,19h 5m,1 stop,In-flight meal not included,112.882
80,SpiceJet,Chennai,Kolkata,21/03/2019,08:20,2h 15m,non-stop,No check-in baggage included,36.652
81,Jet Airways,Kolkata,Banglore,9/06/2019,21:10,14h 50m,1 stop,In-flight meal not included,119.284
82,Jet Airways,Banglore,New Delhi,24/03/2019,19:55,2h 40m,non-stop,No info,79.519
83,Jet Airways,Kolkata,Banglore,6/05/2019,06:30,22h 10m,1 stop,No info,153.351
84,IndiGo,Delhi,Cochin,27/06/2019,11:25,9h 35m,1 stop,No info,64.834
85,Multiple carriers,Delhi,Cochin,18/05/2019,09:00,10h,1 stop,No info,112.167
86,Jet Airways,Banglore,New Delhi,06/03/2019,14:05,21h 20m,1 stop,In-flight meal not included,150.832
87,IndiGo,Delhi,Cochin,24/06/2019,02:00,5h 25m,1 stop,No info,61.996
88,Jet Airways,Delhi,Cochin,6/06/2019,09:40,18h 45m,2 stops,No info,143.154
89,Jet Airways,Kolkata,Banglore,1/04/2019,08:25,12h 20m,1 stop,In-flight meal not included,77.704
90,Jet Airways,Kolkata,Banglore,24/05/2019,20:25,18h,1 stop,In-flight meal not included,117.733
91,Multiple carriers,Delhi,Cochin,27/05/2019,13:15,9h 15m,1 stop,No info,106.106
92,Multiple carriers,Delhi,Cochin,6/03/2019,02:15,11h 5m,1 stop,No info,187.627
93,Jet Airways,Banglore,New Delhi,12/03/2019,16:55,17h 30m,1 stop,No info,151.987
94,Air India,Delhi,Cochin,6/03/2019,05:55,13h 20m,2 stops,No info,151.228
95,Air India,Kolkata,Banglore,21/04/2019,20:45,2h 35m,non-stop,No info,53.68
96,IndiGo,Chennai,Kolkata,21/06/2019,05:15,2h 25m,non-stop,No info,38.94
97,SpiceJet,Banglore,Delhi,15/05/2019,05:55,2h 40m,non-stop,No check-in baggage included,35.827
98,Jet Airways,Banglore,Delhi,3/06/2019,19:50,3h,non-stop,In-flight meal not included,71.258
99,Jet Airways,Mumbai,Hyderabad,18/06/2019,07:05,1h 25m,non-stop,No info,88.44
100,Jet Airways,Delhi,Cochin,12/06/2019,20:00,16h 35m,2 stops,No info,157.3
101,Jet Airways,Kolkata,Banglore,15/05/2019,08:25,12h 20m,1 stop,No info,162.591
102,Jet Airways,Kolkata,Banglore,9/06/2019,20:00,12h 15m,1 stop,No info,164.329
103,Jet Airways,Delhi,Cochin,24/06/2019,20:55,7h 30m,1 stop,In-flight meal not included,112.882
104,Air India,Kolkata,Banglore,12/05/2019,14:35,24h,1 stop,No info,71.808
105,Air India,Banglore,Delhi,1/05/2019,06:10,2h 45m,non-stop,No info,67.331
106,Jet Airways,Delhi,Cochin,18/05/2019,19:30,8h 55m,2 stops,In-flight meal not included,143.319
107,Multiple carriers,Delhi,Cochin,27/03/2019,11:40,7h 10m,1 stop,No info,125.631
108,Multiple carriers,Delhi,Cochin,27/03/2019,04:45,14h 30m,1 stop,No info,83.314
109,Air India,Delhi,Cochin,9/05/2019,12:55,30h 20m,2 stops,No info,127.556
110,Jet Airways,Delhi,Cochin,24/05/2019,23:05,19h 55m,2 stops,No info,166.419
